,Start,End,Rate
0,0.0,13.9,0.7
1,13.9,19.0,1.9
2,19.0,26.2,1.3
3,26.2,28.8,3.8
4,28.8,34.5,1.7
5,34.5,37.1,3.8
6,37.1,43.3,1.6
7,43.3,46.1,3.5
8,46.1,51.2,1.9
9,51.2,57.6,1.5
10,57.6,59.8,4.5
11,59.8,131.1,0.1
12,133.5,140.0,1.5
13,140.0,145.3,1.8
14,145.3,158.7,0.7
15,158.7,162.9,2.3
16,162.9,166.9,2.5
17,166.9,171.9,2.0
18,171.9,180.9,1.1
19,180.9,194.7,0.7
20,198.3,201.7,2.9
21,201.7,209.1,1.3
22,209.1,217.9,1.1
23,217.9,221.2,3.0
24,221.2,224.6,2.9
25,224.6,230.3,1.7
26,232.3,238.3,1.6
27,239.3,247.2,1.2
28,247.2,277.1,0.3
29,277.1,284.9,1.2
30,284.9,293.3,1.1
31,293.3,299.8,1.5
32,299.8,309.1,1.0
33,309.1,319.7,0.9
34,319.7,325.2,1.8
35,325.2,337.1,0.8
36,341.6,349.3,1.2
37,349.3,363.8,0.6
38,372.4,376.1,2.7
39,376.1,378.0,5.2
40,380.7,385.6,2.0
41,385.6,390.8,1.9
42,390.8,395.0,2.3
43,395.0,400.4,1.8
44,400.4,415.4,0.6
45,415.4,418.1,3.7
46,418.1,431.2,0.7
47,431.2,435.2,2.5
48,436.4,442.2,1.7
49,442.2,476.1,0.2
50,476.1,482.0,1.6
51,482.0,488.0,1.6
52,489.2,499.1,1.0
53,499.1,513.0,0.7
54,513.0,516.2,3.1
55,516.2,551.3,0.2
56,552.4,563.1,0.9
57,563.1,567.4,2.3
58,567.4,570.8,2.9
59,570.8,578.0,1.3
60,578.0,597.7,0.5
61,597.7,605.2,1.3
62,605.2,609.5,2.3
63,609.5,614.3,2.0
64,614.3,619.6,1.8
65,619.6,624.3,2.1
66,624.3,632.9,1.1
67,632.9,636.2,3.0
68,636.2,642.5,1.5
69,642.5,646.1,2.7
70,646.1,650.9,2.0
71,650.9,654.6,2.7
72,654.6,659.7,1.9
73,659.7,666.5,1.4
74,666.5,671.8,1.8
75,672.7,677.5,2.0
76,677.5,685.6,1.2
