"prob","logit","action","start","end"
0.12388421,5.9638586,"juggling balls",1,154
0.06790189,5.9137774,"bending back",1,36
0.28469363,7.098332,"contact juggling",36,206
0.13654801,6.840965,"folding paper",36,66
0.17214334,6.5491896,"bookbinding",66,124
0.4620347,8.221312,"contact juggling",66,247
0.13654801,6.840965,"folding paper",124,154
0.7641069,10.17476,"contact juggling",124,278
0.45136255,8.056247,"bookbinding",154,206
0.41748258,7.8204827,"contact juggling",154,310
0.11887757,6.4409304,"bookbinding",206,247
0.35303944,7.759325,"contact juggling",206,349
0.1395203,6.9488635,"bookbinding",247,278
0.1463857,6.4247427,"bending back",247,401
0.07400508,6.081014,"bending back",278,310
0.13578147,6.3555207,"yoga",278,431
0.2750164,7.6452665,"bookbinding",310,349
0.10897764,6.1112304,"contact juggling",310,469
0.45136255,8.056247,"bookbinding",349,401
0.10365781,6.666092,"contact juggling",349,516
0.13654801,6.840965,"folding paper",401,431
0.18931226,7.43218,"bending back",401,550
0.26617107,7.5417147,"bookbinding",431,469
0.19405246,7.3210206,"bending back",431,593
0.40600336,8.133896,"bookbinding",469,516
0.22067897,7.8339314,"contact juggling",469,623
0.06821198,5.859981,"bending back",516,550
0.23846593,7.7645345,"bending back",516,675
0.106818445,6.288643,"bookbinding",550,593
0.15819782,7.268088,"juggling balls",550,731
0.13654801,6.840965,"folding paper",593,623
0.18860243,7.5503306,"squat",593,761
0.45136255,8.056247,"bookbinding",623,675
0.370325,8.738916,"juggling balls",623,798
0.18056889,6.5868645,"bookbinding",675,731
0.24563,7.9228187,"juggling balls",675,828
0.13654791,6.840964,"folding paper",731,761
0.13780652,7.0511923,"juggling balls",731,868
0.32652244,7.916008,"bookbinding",761,798
0.15303373,7.0819955,"juggling balls",761,898
0.13654801,6.840965,"folding paper",798,828
0.09762599,6.350955,"spinning poi",798,930
0.10924551,6.299726,"bookbinding",828,868
0.21622264,8.076961,"spinning poi",828,962
0.32056737,8.549224,"spinning poi",868,1009
0.13654791,6.840964,"folding paper",868,898
0.26245195,7.681078,"bending back",898,1039
0.07400508,6.081014,"bending back",898,930
0.31133687,8.12573,"spinning poi",930,1070
0.07400508,6.081014,"bending back",930,962
0.4060033,8.133896,"bookbinding",962,1009
0.19855987,7.202591,"spinning poi",962,1111
0.13654801,6.840965,"folding paper",1009,1039
0.21764667,7.947996,"contact juggling",1009,1156
0.13952039,6.9488645,"bookbinding",1039,1070
0.22330551,7.4169607,"contact juggling",1039,1187
0.11887757,6.4409304,"bookbinding",1070,1111
0.2977109,8.777295,"spinning poi",1070,1217
0.4407608,8.247178,"bookbinding",1111,1156
0.24493916,8.614482,"spinning poi",1111,1252
0.13952035,6.9488635,"bookbinding",1156,1187
0.320109,8.228722,"spinning poi",1156,1286
0.13654801,6.840965,"folding paper",1187,1217
0.28756788,7.3492336,"spinning poi",1187,1336
0.0679019,5.9137774,"bending back",1217,1252
0.37333962,8.000595,"spinning poi",1217,1378
0.06821198,5.859981,"bending back",1252,1286
0.18137026,6.6990924,"spinning poi",1252,1420
0.15443425,6.5908074,"bookbinding",1286,1336
0.15584876,6.689205,"juggling balls",1286,1452
0.098714575,6.1537085,"bookbinding",1336,1378
0.1930071,7.1241107,"juggling balls",1336,1484
0.098714575,6.1537085,"bookbinding",1378,1420
0.16553935,6.895151,"juggling balls",1378,1531
0.07400508,6.081014,"bending back",1420,1452
0.4677868,8.46424,"juggling balls",1420,1562
0.07400508,6.081014,"bending back",1452,1484
0.2130854,7.612502,"juggling balls",1452,1596
0.40600336,8.133896,"bookbinding",1484,1531
0.20384282,7.1418414,"juggling balls",1484,1634
0.13952035,6.9488635,"bookbinding",1531,1562
0.12432869,6.9522886,"dancing charleston",1531,1664
0.06821198,5.859981,"bending back",1562,1596
0.27344725,7.8965387,"spinning poi",1562,1707
0.26617107,7.5417147,"bookbinding",1596,1634
0.17865579,7.1037707,"spinning poi",1596,1742
0.13654801,6.840965,"folding paper",1634,1664
0.16853045,7.117918,"spinning poi",1634,1779
0.106818445,6.288643,"bookbinding",1664,1707
0.09982684,6.8244705,"spinning poi",1664,1827
0.06790189,5.9137774,"bending back",1707,1742
0.20715378,7.517994,"dancing charleston",1707,1862
0.32652244,7.916008,"bookbinding",1742,1779
0.15556207,7.1035323,"dancing charleston",1742,1892
0.16308753,6.6426616,"bookbinding",1779,1827
0.3275596,8.348482,"dancing charleston",1779,1923
0.06790189,5.9137774,"bending back",1827,1862
0.28258514,7.812875,"dancing charleston",1827,1971
0.13654801,6.840965,"folding paper",1862,1892
0.1471177,6.8295674,"bending back",1862,2012
0.13952035,6.9488635,"bookbinding",1892,1923
0.14138715,6.6982145,"bending back",1892,2042
0.16308753,6.6426616,"bookbinding",1923,1971
0.40715343,7.86158,"bending back",1923,2099
0.11887757,6.4409304,"bookbinding",1971,2012
0.60292965,8.6591625,"bending back",1971,2133
0.13654801,6.840965,"folding paper",2012,2042
0.4819812,8.489979,"bending back",2012,2182
0.19131842,6.686367,"bookbinding",2042,2099
0.4740789,8.391462,"bending back",2042,2217
0.06821198,5.859981,"bending back",2099,2133
0.09852636,6.217521,"throwing ball",2099,2276
0.17643557,6.769964,"bookbinding",2133,2182
0.14589947,7.2339277,"dancing charleston",2133,2324
0.06790189,5.9137774,"bending back",2182,2217
0.1413015,7.292471,"bending back",2182,2381
0.18626523,6.6876063,"bookbinding",2217,2276
0.13224044,6.871986,"bending back",2217,2431
0.16308753,6.6426616,"bookbinding",2276,2324
0.21592303,7.268299,"bending back",2276,2462
0.19131842,6.686367,"bookbinding",2324,2381
0.1797294,6.94343,"bending back",2324,2507
0.15443425,6.5908074,"bookbinding",2381,2431
0.11674185,6.174559,"throwing axe",2381,2537
0.13952035,6.9488635,"bookbinding",2431,2462
0.10067801,6.0179973,"high kick",2431,2569
0.4407608,8.247178,"bookbinding",2462,2507
0.05723493,5.182003,"dancing charleston",2462,2616
0.13654801,6.840965,"folding paper",2507,2537
0.16983339,6.4474773,"juggling balls",2507,2654
0.07400508,6.081014,"bending back",2537,2569
0.13739409,6.449106,"bending back",2537,2684
0.40600336,8.133896,"bookbinding",2569,2616
0.10877834,6.3189273,"spinning poi",2569,2720
0.26617107,7.5417147,"bookbinding",2616,2654
0.14655434,6.496952,"bending back",2616,2776
0.13654801,6.840965,"folding paper",2654,2684
0.10564074,6.120469,"bending back",2654,2818
0.30733004,7.7694154,"bookbinding",2684,2720
0.12586634,6.2544622,"hammer throw",2684,2848
0.18056889,6.5868645,"bookbinding",2720,2776
0.12668239,6.5770464,"juggling balls",2720,2883
0.098714575,6.1537085,"bookbinding",2776,2818
0.13003364,6.644869,"spinning poi",2776,2915
0.13654801,6.840965,"folding paper",2818,2848
0.24143045,7.4359064,"spinning poi",2818,2960
0.06790189,5.9137774,"bending back",2848,2883
0.34164944,8.340283,"spinning poi",2848,2990
0.07400508,6.081014,"bending back",2883,2915
0.14465007,6.729748,"bending back",2883,3021
0.44076085,8.247178,"bookbinding",2915,2960
0.10277786,6.3609853,"bending back",2915,3051
0.13654801,6.840965,"folding paper",2960,2990
0.095067106,6.504128,"high kick",2960,3081
0.13952035,6.9488635,"bookbinding",2990,3021
0.090907104,5.741701,"country line dancing",2990,3116
0.13654801,6.840965,"folding paper",3021,3051
0.07330582,5.241574,"bending back",3021,3155
0.13654801,6.840965,"folding paper",3051,3081
0.20941338,6.8833985,"bending back",3051,3186
0.06790189,5.9137774,"bending back",3081,3116
0.24110772,6.934087,"bending back",3081,3241
0.2750164,7.6452665,"bookbinding",3116,3155
0.2576506,7.1253905,"bending back",3116,3296
0.13952035,6.9488635,"bookbinding",3155,3186
0.18934399,6.6463,"spinning poi",3155,3326
0.44563735,8.131911,"bookbinding",3186,3241
0.26144347,7.356347,"spinning poi",3186,3356
0.44563735,8.131911,"bookbinding",3241,3296
0.4746557,8.301108,"spinning poi",3241,3407
0.13654801,6.840965,"folding paper",3296,3326
0.27224413,7.7749424,"spinning poi",3296,3453
0.13654801,6.840965,"folding paper",3326,3356
0.25534344,7.36889,"bending back",3326,3498
0.16730833,6.7299614,"bookbinding",3356,3407
0.12266985,5.964589,"bending back",3356,3539
0.3886812,7.9959364,"bookbinding",3407,3453
0.08933481,5.6253552,"juggling balls",3407,3570
0.4407608,8.247178,"bookbinding",3453,3498
0.060909837,4.8504777,"juggling balls",3453,3618
0.11887757,6.4409304,"bookbinding",3498,3539
0.121460214,5.789102,"juggling balls",3498,3648
0.13952045,6.9488654,"bookbinding",3539,3570
0.14117578,6.3352284,"juggling balls",3539,3678
0.16308753,6.6426616,"bookbinding",3570,3618
0.1898194,6.532952,"juggling balls",3570,3708
0.13654801,6.840965,"folding paper",3618,3648
0.22123854,7.045015,"bending back",3618,3738
0.13654801,6.840965,"folding paper",3648,3678
0.12707837,5.8827367,"juggling balls",3648,3773
0.13654801,6.840965,"folding paper",3678,3708
0.19139078,6.414057,"bending back",3678,3827
0.13654801,6.840965,"folding paper",3708,3738
0.07501589,5.143752,"bending back",3708,3857
0.06790189,5.9137774,"bending back",3738,3773
0.07593227,4.956835,"juggling balls",3738,3903
0.42559838,7.999739,"bookbinding",3773,3827
0.09428338,5.7054744,"bending back",3773,3938
0.13654801,6.840965,"folding paper",3827,3857
0.12721176,6.0747614,"bending back",3827,3968
0.3886812,7.9959364,"bookbinding",3857,3903
0.07417467,5.069807,"juggling balls",3857,4022
0.06790189,5.9137774,"bending back",3903,3938
0.07478298,5.365347,"juggling balls",3903,4060
0.13654801,6.840965,"folding paper",3938,3968
0.122818746,5.806787,"juggling balls",3938,4095
0.42559838,7.999739,"bookbinding",3968,4022
0.1643261,6.14,"juggling balls",3968,4127
0.26617107,7.5417147,"bookbinding",4022,4060
0.14289628,6.3388643,"juggling balls",4022,4173
0.06790189,5.9137774,"bending back",4060,4095
0.2394223,7.034117,"bending back",4060,4230
0.07400508,6.081014,"bending back",4095,4127
0.18261138,6.8284426,"bending back",4095,4276
0.3886812,7.9959364,"bookbinding",4127,4173
0.21505754,6.9133167,"spinning poi",4127,4318
0.19131842,6.686367,"bookbinding",4173,4230
0.18051988,6.873639,"spinning poi",4173,4364
0.3886812,7.9959364,"bookbinding",4230,4276
0.26898053,7.249261,"spinning poi",4230,4396
0.098714575,6.1537085,"bookbinding",4276,4318
0.3211256,7.8059945,"spinning poi",4276,4426
0.3886812,7.9959364,"bookbinding",4318,4364
0.1794116,6.6210284,"spinning poi",4318,4471
0.074005105,6.0810146,"bending back",4364,4396
0.12052896,5.8351297,"juggling balls",4364,4517
0.13654801,6.840965,"folding paper",4396,4426
0.15662016,5.788576,"juggling balls",4396,4548
0.4407608,8.247178,"bookbinding",4426,4471
0.16079287,5.79401,"juggling balls",4426,4579
0.3886812,7.9959364,"bookbinding",4471,4517
0.17480625,5.9570804,"juggling balls",4471,4613
0.13952035,6.9488635,"bookbinding",4517,4548
0.33888808,7.0629263,"juggling balls",4517,4662
0.13952035,6.9488635,"bookbinding",4548,4579
0.2680624,6.731766,"juggling balls",4548,4692
0.06821198,5.859981,"bending back",4579,4613
0.27551302,6.5090647,"juggling balls",4579,4746
0.17643557,6.769964,"bookbinding",4613,4662
0.28672656,6.5139656,"juggling balls",4613,4776
0.13654801,6.840965,"folding paper",4662,4692
0.10815146,5.264236,"folding paper",4662,4806
0.42559838,7.999739,"bookbinding",4692,4746
0.13654801,6.840965,"folding paper",4746,4776
0.13654801,6.840965,"folding paper",4776,4806
0.14791144,5.1257463,"bookbinding",4806,5266
