"start","end","prob","logit","action","start","end"
1,172,0.109812886,4.938864,"recording music",1,172
55,213,0.4886917,7.4292593,"assembling computer",55,213
85,269,0.35749498,6.7451787,"assembling computer",85,269
134,306,0.45035914,7.179954,"assembling computer",134,306
172,336,0.4017421,6.9218736,"assembling computer",172,336
213,391,0.3731024,6.663384,"assembling computer",213,391
269,421,0.35824195,6.5393405,"assembling computer",269,421
306,451,0.33625418,6.4718285,"assembling computer",306,451
336,496,0.43543124,6.950676,"assembling computer",336,496
391,527,0.66854864,8.065266,"assembling computer",391,527
421,585,0.7019871,8.210661,"assembling computer",421,585
451,615,0.66383046,7.9510064,"assembling computer",451,615
496,662,0.7473236,8.431623,"assembling computer",496,662
527,694,0.7197423,8.301939,"assembling computer",527,694
585,724,0.7109219,8.315259,"assembling computer",585,724
615,766,0.73319316,8.796641,"assembling computer",615,766
662,809,0.68162006,8.445313,"assembling computer",662,809
694,851,0.60851943,8.246646,"assembling computer",694,851
724,889,0.6363347,8.357888,"assembling computer",724,889
766,941,0.7129147,8.752278,"assembling computer",766,941
809,971,0.8305689,9.386416,"assembling computer",809,971
851,1002,0.84546185,9.897757,"assembling computer",851,1002
889,1047,0.5928912,8.162935,"assembling computer",889,1047
941,1088,0.22426262,6.3920426,"assembling computer",941,1088
971,1124,0.1968652,6.62911,"assembling computer",971,1124
1002,1156,0.26251093,6.8557525,"playing recorder",1002,1156
1047,1200,0.33174604,7.303767,"playing recorder",1047,1200
1088,1230,0.2301469,7.048594,"playing recorder",1088,1230
1124,1265,0.24122141,6.9582233,"playing recorder",1124,1265
1156,1304,0.1321389,5.8685455,"assembling computer",1156,1304
1200,1342,0.15065922,5.875816,"assembling computer",1200,1342
1230,1397,0.09785315,5.346846,"assembling computer",1230,1397
1265,1427,0.08517684,5.1637826,"assembling computer",1265,1427
1304,1468,0.07352805,5.170238,"assembling computer",1304,1468
1342,1513,0.10965392,5.5484495,"playing recorder",1342,1513
1397,1543,0.20783438,6.446924,"playing recorder",1397,1543
1427,1575,0.3360254,7.4962482,"playing recorder",1427,1575
1468,1627,0.5150073,8.917241,"playing recorder",1468,1627
1513,1657,0.5107632,8.477978,"playing recorder",1513,1657
1543,1708,0.524419,8.843338,"playing recorder",1543,1708
1575,1743,0.43582356,7.7843533,"playing recorder",1575,1743
1627,1794,0.39223182,7.6086073,"playing recorder",1627,1794
1657,1824,0.32745236,7.10364,"playing recorder",1657,1824
1708,1854,0.19624782,5.9962454,"playing recorder",1708,1854
1743,1899,0.31614023,6.91493,"playing recorder",1743,1899
1794,1945,0.35514653,7.314109,"playing recorder",1794,1945
1824,1991,0.36366203,7.3246293,"playing recorder",1824,1991
1854,2021,0.36257794,7.478236,"playing recorder",1854,2021
1899,2054,0.2535014,6.5531883,"playing recorder",1899,2054
1945,2108,0.20673744,6.217035,"playing recorder",1945,2108
1991,2144,0.23136617,6.373631,"playing recorder",1991,2144
2021,2185,0.3399374,7.2439423,"playing recorder",2021,2185
2054,2215,0.3503558,7.1753836,"playing recorder",2054,2215
2108,2261,0.47288492,7.9317274,"playing recorder",2108,2261
2144,2294,0.5048352,8.427186,"playing recorder",2144,2294
2185,2334,0.50662553,8.595036,"playing recorder",2185,2334
2215,2365,0.47599602,8.101618,"playing recorder",2215,2365
2261,2402,0.4655311,8.120853,"playing recorder",2261,2402
2294,2458,0.4523695,7.989592,"playing recorder",2294,2458
2334,2513,0.40051997,7.3352633,"playing recorder",2334,2513
2365,2544,0.495153,7.9095583,"playing recorder",2365,2544
2402,2579,0.5284903,8.059302,"playing recorder",2402,2579
2458,2625,0.5540889,8.575251,"playing recorder",2458,2625
2513,2677,0.5039715,8.149713,"playing recorder",2513,2677
2544,2707,0.46238786,7.633359,"playing recorder",2544,2707
2579,2742,0.4153106,7.5330687,"playing recorder",2579,2742
2625,2776,0.27006826,7.018842,"playing recorder",2625,2776
2677,2807,0.2237369,6.405737,"playing recorder",2677,2807
2707,2838,0.15149848,5.7175293,"recording music",2707,2838
2742,2879,0.16416205,5.831018,"playing recorder",2742,2879
2776,2924,0.16120921,5.8341694,"playing recorder",2776,2924
2807,2969,0.16627173,5.6566052,"playing recorder",2807,2969
2838,2999,0.19212148,5.8744097,"playing recorder",2838,2999
2879,3049,0.23088565,6.165119,"playing recorder",2879,3049
2924,3079,0.23437962,6.1909895,"playing recorder",2924,3079
2969,3119,0.36717027,7.041819,"playing recorder",2969,3119
2999,3169,0.32739145,6.6546783,"playing recorder",2999,3169
3049,3203,0.294714,6.540003,"playing recorder",3049,3203
3079,3241,0.26251712,6.4310546,"playing recorder",3079,3241
3119,3289,0.25071707,6.3352714,"playing recorder",3119,3289
3169,3323,0.1629148,5.7247596,"playing recorder",3169,3323
3203,3357,0.15079412,5.5193696,"playing recorder",3203,3357
3241,3396,0.15852539,5.583573,"playing recorder",3241,3396
3289,3447,0.36814126,7.1156874,"playing recorder",3289,3447
3323,3479,0.6179043,8.789547,"playing recorder",3323,3479
3357,3509,0.6725982,9.171806,"playing recorder",3357,3509
3396,3548,0.6855585,9.642993,"playing recorder",3396,3548
3447,3583,0.76362664,10.523721,"playing recorder",3447,3583
3479,3613,0.76803577,11.047639,"playing recorder",3479,3613
3509,3668,0.76618767,11.492613,"playing recorder",3509,3668
3548,3701,0.69235986,11.789372,"playing recorder",3548,3701
3583,3736,0.64531446,10.550899,"playing recorder",3583,3736
3613,3781,0.60924155,10.784923,"playing recorder",3613,3781
3668,3816,0.6488523,9.720906,"playing recorder",3668,3816
3701,3846,0.5019334,7.9130096,"playing recorder",3701,3846
3736,3876,0.3273089,7.231458,"playing recorder",3736,3876
3781,3909,0.17287499,5.9780583,"recording music",3781,3909
3816,3954,0.14285031,5.6113935,"recording music",3816,3954
3846,3986,0.2007561,6.251563,"recording music",3846,3986
3876,4018,0.19996712,6.268796,"recording music",3876,4018
3909,4059,0.310017,7.0323114,"playing recorder",3909,4059
3954,4089,0.40555623,7.6234164,"playing recorder",3954,4089
3986,4119,0.52069134,8.442779,"playing recorder",3986,4119
4018,4159,0.5301325,8.868029,"playing recorder",4018,4159
4059,4211,0.536603,8.611119,"playing recorder",4059,4211
4089,4267,0.52392864,9.020376,"playing recorder",4089,4267
4119,4314,0.5050679,8.683742,"playing recorder",4119,4314
4159,4352,0.4917745,8.682488,"playing recorder",4159,4352
4211,4390,0.52970636,8.466688,"playing recorder",4211,4390
4267,4426,0.5518338,8.718146,"playing recorder",4267,4426
4314,4458,0.4813562,7.876964,"playing recorder",4314,4458
4352,4493,0.42916647,7.8653393,"playing recorder",4352,4493
4390,4529,0.45573264,7.626767,"playing recorder",4390,4529
4426,4562,0.5520229,8.4180765,"playing recorder",4426,4562
4458,4599,0.5942367,8.781795,"playing recorder",4458,4599
4493,4629,0.48910514,8.184793,"playing recorder",4493,4629
4529,4662,0.47778398,9.282299,"playing recorder",4529,4662
4562,4704,0.48886833,8.487708,"playing recorder",4562,4704
4599,4757,0.25912777,6.632451,"playing recorder",4599,4757
4629,4787,0.38165253,7.690458,"playing recorder",4629,4787
4662,4840,0.29482764,6.8706317,"playing recorder",4662,4840
4704,4870,0.20926039,6.627427,"playing recorder",4704,4870
4757,4904,0.26308057,6.9215617,"recording music",4757,4904
4787,4934,0.29838464,6.959566,"playing recorder",4787,4934
4840,4971,0.22839625,6.2956567,"playing recorder",4840,4971
4870,5001,0.16742244,5.7404423,"playing recorder",4870,5001
4904,5053,0.19858071,6.0513635,"recording music",4904,5053
4934,5083,0.17419729,5.7530875,"recording music",4934,5083
4971,5137,0.18885887,5.9325285,"recording music",4971,5137
5001,5167,0.31254417,6.920516,"playing recorder",5001,5167
5053,5220,0.32386875,7.0602036,"playing recorder",5053,5220
5083,5257,0.3731131,7.3174024,"playing recorder",5083,5257
5137,5292,0.28384262,6.8123817,"playing recorder",5137,5292
5167,5322,0.16810814,5.9567733,"recording music",5167,5322
5220,5360,0.18580878,6.195052,"playing recorder",5220,5360
5257,5409,0.13423946,5.6688066,"playing recorder",5257,5409
5292,5446,0.19471173,6.1460633,"playing recorder",5292,5446
5322,5482,0.30101618,7.1027236,"playing recorder",5322,5482
5360,5523,0.20394102,6.247853,"playing recorder",5360,5523
5409,5557,0.1846414,6.3832874,"recording music",5409,5557
5446,5591,0.28652486,7.2422223,"playing recorder",5446,5591
5482,5639,0.27200857,7.4601297,"recording music",5482,5639
5523,5669,0.33926713,7.210278,"recording music",5523,5669
5557,5699,0.30964392,7.8852477,"recording music",5557,5699
5591,5754,0.32708082,7.3327966,"playing recorder",5591,5754
5639,5794,0.15774696,5.6977835,"playing recorder",5639,5794
5669,5834,0.13224491,5.585368,"recording music",5669,5834
5699,5867,0.14202613,5.550637,"recording music",5699,5867
5754,5897,0.24546398,6.804446,"recording music",5754,5897
5794,5929,0.26653188,7.644156,"recording music",5794,5929
5834,5965,0.40746605,8.502384,"playing recorder",5834,5965
5867,5995,0.38473296,8.590171,"playing recorder",5867,5995
5897,6047,0.2975823,8.166976,"playing recorder",5897,6047
5929,6105,0.2701785,7.030924,"recording music",5929,6105
5965,6135,0.25044963,6.5245085,"recording music",5965,6135
5995,6193,0.20112893,6.338778,"playing recorder",5995,6193
6047,6223,0.21128303,6.306497,"recording music",6047,6223
6105,6256,0.2939835,7.1190286,"recording music",6105,6256
6135,6310,0.36136037,7.221331,"recording music",6135,6310
6193,6342,0.49316096,8.490957,"recording music",6193,6342
6223,6374,0.49029902,8.239368,"recording music",6223,6374
6256,6406,0.34007108,7.6376395,"recording music",6256,6406
6310,6449,0.29328343,8.017721,"playing recorder",6310,6449
6342,6485,0.24037258,8.279221,"playing recorder",6342,6485
6374,6530,0.22015128,8.560836,"playing recorder",6374,6530
6406,6566,0.26349023,7.4795623,"recording music",6406,6566
6449,6601,0.26803955,7.182186,"recording music",6449,6601
